Key,Date,Open,High,Low,Close,AdjClose,Volume
AMC,12/18/2013,19.18,19.790001,18.9,18.9,13.593408,5457200
AMC,12/19/2013,18.9,19.49,18.809999,19.49,14.017756,1605400
AMC,12/20/2013,19.65,19.77,19.4,19.68,14.154408,737100
AMC,12/23/2013,19.790001,19.99,19.5,19.74,14.197564,698100
AMC,12/24/2013,19.74,19.82,19.5,19.530001,14.046525,213700
AMC,12/26/2013,19.549999,19.9,19.35,19.780001,14.226334,416500
AMC,12/27/2013,19.93,20.59,19.530001,20.139999,14.485252,758200
AMC,12/30/2013,20.1,20.139999,19.82,19.98,14.370178,246800
AMC,12/31/2013,19.959999,20.719999,19.959999,20.549999,14.780135,313900
AMC,1/2/2014,20.620001,20.940001,19.959999,20.18,14.514023,425800
AMC,1/3/2014,20.1,20.280001,19.780001,20.02,14.398949,298700
AMC,1/6/2014,20.049999,20.1,19.809999,20.01,14.391753,509700
AMC,1/7/2014,20.040001,20.17,19.93,20.049999,14.420523,856800
AMC,1/8/2014,20.1,20.1,19.889999,19.959999,14.355789,497900
AMC,1/9/2014,19.959999,20.049999,19.809999,20.030001,14.406136,290200
AMC,1/10/2014,20.049999,20.15,19.99,20.040001,14.413329,660100
AMC,1/13/2014,19.9,20.01,19.75,19.98,14.370178,392600
AMC,1/14/2014,19.860001,20.34,19.75,20.120001,14.470872,215800
AMC,1/15/2014,20.18,20.299999,19.809999,19.99,14.377373,311800
AMC,1/16/2014,19.92,20.49,19.9,20.299999,14.600333,279300
AMC,1/17/2014,20.18,20.49,20.040001,20.24,14.557176,131400
AMC,1/21/2014,20.4,21,20.32,20.85,14.995906,620300
AMC,1/22/2014,20.940001,21.49,20.92,21.26,15.290792,326800
AMC,1/23/2014,21.27,21.27,20.5,21.27,15.297986,154300
AMC,1/24/2014,21.27,21.610001,20.799999,21.370001,15.369904,409000
AMC,1/27/2014,21.26,21.469999,21.02,21.35,15.355514,497200
AMC,1/28/2014,21.969999,21.969999,21.1,21.91,15.758283,332600
AMC,1/29/2014,21.92,21.92,21.35,21.639999,15.564096,77200
AMC,1/30/2014,21.879999,22,21.43,21.530001,15.484982,122700
AMC,1/31/2014,21.25,21.82,21.16,21.370001,15.369904,230800
AMC,2/3/2014,21.5,21.5,21.01,21.049999,15.139749,232200
AMC,2/4/2014,21.049999,21.17,20.620001,21.02,15.118176,311500
AMC,2/5/2014,20.84,21.129999,20.299999,21.040001,15.132562,362000
AMC,2/6/2014,20.99,21.16,20.709999,21.16,15.218868,211600
AMC,2/7/2014,21.209999,21.33,20.91,21.32,15.333942,129900
AMC,2/10/2014,21.25,21.370001,21.07,21.370001,15.369904,118300
AMC,2/11/2014,21.459999,21.780001,21.299999,21.77,15.657596,156200
AMC,2/12/2014,21.709999,22.09,21.459999,22.040001,15.851788,147900
AMC,2/13/2014,21.74,22.450001,21.719999,22.1,15.89494,183400
AMC,2/14/2014,22.18,22.18,21.32,22,15.823019,172600
AMC,2/18/2014,22.1,22.1,21.799999,21.99,15.81583,183800
AMC,2/19/2014,21.92,22.25,21.76,21.93,15.772673,210900
AMC,2/20/2014,21.799999,22.059999,21.629999,21.950001,15.787058,179800
AMC,2/21/2014,22,22.639999,21.790001,22.309999,16.045982,303800
AMC,2/24/2014,22.4,22.5,21.9,22.389999,16.103512,245400
AMC,2/25/2014,22.48,22.93,22.309999,22.469999,16.161058,252800
AMC,2/26/2014,22.75,22.879999,21.67,22.52,16.197016,567500
AMC,2/27/2014,22.52,22.940001,22.139999,22.74,16.355247,374300
AMC,2/28/2014,22.74,22.940001,22.35,22.889999,16.463131,306200
AMC,3/3/2014,22.969999,23.6,22.77,22.950001,16.506287,432900
AMC,3/4/2014,23.08,24.459999,23.08,23.98,17.247089,1157200
AMC,3/5/2014,24.040001,24.799999,24.040001,24.66,17.736164,355400
AMC,3/6/2014,24.780001,25.290001,24.59,25.219999,18.138933,351300
