Key,Date,Open,High,Low,Close,Adj Close,Volume
ARKK,10/31/2014,20.42,20.42,20.379999,20.379999,18.697985,2700
ARKK,11/3/2014,20.49,20.49,20.35,20.379999,18.697985,2300
ARKK,11/4/2014,20.200001,20.27,20.200001,20.26,18.587891,7900
ARKK,11/5/2014,20.51,20.51,20,20,18.349352,14900
ARKK,11/6/2014,20.09,20.139999,20.07,20.139999,18.477795,2000
ARKK,11/7/2014,20.15,20.15,20.08,20.120001,18.459448,1500
ARKK,11/10/2014,20.16,20.299999,20.16,20.299999,18.624588,3900
ARKK,11/11/2014,20.690001,20.690001,20.233999,20.290001,18.615416,2900
ARKK,11/12/2014,20.26,20.360001,20.24,20.360001,18.679638,2300
ARKK,11/13/2014,20.4,20.42,20.299999,20.34,18.661289,11900
ARKK,11/14/2014,20.42,20.440001,20.42,20.440001,18.753035,1300
ARKK,11/17/2014,20.59,20.59,20.360001,20.41,18.725512,3400
ARKK,11/18/2014,20.6,20.6,20.6,20.6,18.89983,1000
ARKK,11/19/2014,20.290001,20.290001,20.290001,20.290001,18.615416,1100
ARKK,11/20/2014,20.120001,20.280001,20.1,20.280001,18.606239,1300
ARKK,11/21/2014,20.370001,20.370001,20.358,20.360001,18.679638,1300
ARKK,11/24/2014,20.35,20.49,20.35,20.49,18.79891,2000
ARKK,11/25/2014,20.52,20.52,20.52,20.52,18.826433,600
ARKK,11/26/2014,20.530001,20.559999,20.530001,20.559999,18.863132,900
ARKK,11/28/2014,20.540001,20.65,20.530001,20.59,18.890657,1500
ARKK,12/1/2014,20.27,20.27,20.27,20.27,18.597067,600
ARKK,12/2/2014,20.049999,20.049999,20.049999,20.049999,18.395224,900
ARKK,12/3/2014,20.09,20.09,20.09,20.09,18.431923,600
ARKK,12/4/2014,20.129999,20.18,20.040001,20.059999,18.404398,1900
ARKK,12/5/2014,20.190001,20.190001,20.1,20.110001,18.450272,7400
ARKK,12/8/2014,20.09,20.09,19.68,19.73,18.101631,900
ARKK,12/9/2014,19.58,19.780001,19.5,19.780001,18.147509,1400
ARKK,12/10/2014,20.040001,20.040001,19.73,19.73,18.101631,900
ARKK,12/11/2014,19.85,19.85,19.77,19.77,18.138332,900
ARKK,12/12/2014,19.82,19.82,19.608,19.608,17.989702,800
ARKK,12/15/2014,19.639999,19.639999,19.280001,19.280001,17.688772,1300
ARKK,12/16/2014,19.059999,19.24,18.950001,18.950001,17.386009,1500
ARKK,12/17/2014,19.059999,19.16,18.950001,19.16,17.578676,800
ARKK,12/18/2014,19.84,19.9,19.84,19.879999,18.239252,1100
ARKK,12/19/2014,20.190001,20.190001,20.030001,20.16,18.496145,2100
ARKK,12/22/2014,20.35,20.35,20.247,20.33,18.652113,1200
ARKK,12/23/2014,20.4,20.4,20.299999,20.337,18.658537,1800
ARKK,12/24/2014,20.65,20.65,20.370001,20.370001,18.688812,3200
ARKK,12/26/2014,20.41,20.6,20.41,20.6,18.89983,2400
ARKK,12/29/2014,20.469,20.469,20.42,20.427,18.741108,1500
ARKK,12/30/2014,20.58,20.58,20.280001,20.299999,18.624588,1000
ARKK,12/31/2014,20.35,20.41,20.16,20.16,18.496145,1300
ARKK,1/2/2015,21,21,19.959999,20.17,18.50532,5600
ARKK,1/5/2015,20.370001,20.370001,19.653,19.684,18.059431,3200
ARKK,1/6/2015,19.790001,19.790001,19.360001,19.610001,17.991539,3300
ARKK,1/7/2015,19.83,19.83,19.65,19.700001,18.07411,3900
ARKK,1/8/2015,19.940001,20.139999,19.940001,20.139999,18.477795,700
ARKK,1/9/2015,20.1,20.1,19.940001,19.969999,18.321825,1100
ARKK,1/12/2015,20.73,20.73,20.15,20.15,18.486971,1500
ARKK,1/13/2015,20.26,20.26,19.982,19.99,18.340174,400
ARKK,1/14/2015,19.93,19.93,19.826,19.93,18.285126,3200
ARKK,1/15/2015,19.91,19.91,19.48,19.48,17.872267,2900
ARKK,1/16/2015,19.99,19.99,19.59,19.610001,17.991539,900
ARKK,1/20/2015,19.799999,19.9,19.690001,19.889999,18.248426,1000
ARKK,1/21/2015,19.969999,20.25,19.969999,20.25,18.578718,400
ARKK,1/22/2015,20.26,20.528,20.26,20.528,18.833773,2900
ARKK,1/23/2015,20.709999,20.73,20.629999,20.629999,18.927355,5000
ARKK,1/26/2015,20.75,20.75,20.75,20.75,19.037451,200
ARKK,1/27/2015,20.440001,20.440001,20.440001,20.440001,18.753035,1200
ARKK,1/28/2015,20.440001,20.440001,20.35,20.35,18.670464,300
ARKK,1/29/2015,20.334,20.389999,20.08,20.389999,18.707163,900
ARKK,1/30/2015,20.42,20.42,20.24,20.24,18.569542,1900
ARKK,2/2/2015,20.200001,20.367001,20.120001,20.367001,18.68606,2400
ARKK,2/3/2015,20.67,20.67,20.18,20.23,18.560368,11600
ARKK,2/4/2015,20.43,20.459999,20.42,20.459999,18.771385,500
ARKK,2/5/2015,20.649,20.84,20.649,20.84,19.120022,1000
ARKK,2/6/2015,20.948,20.948,20.792,20.792,19.075983,6000
ARKK,2/9/2015,20.709999,20.709999,20.631001,20.677999,18.971392,2200
ARKK,2/10/2015,20.809999,20.85,20.809999,20.85,19.129196,300
ARKK,2/11/2015,20.950001,21.025999,20.860001,21.025999,19.29067,2200
ARKK,2/12/2015,21,21.190001,21,21.184,19.435633,1700
ARKK,2/13/2015,21.27,21.459999,21.27,21.450001,19.679678,1900
ARKK,2/17/2015,21.6,21.6,21.299999,21.34,19.578758,3400
ARKK,2/18/2015,21.337999,21.370001,21.337999,21.370001,19.606281,800
ARKK,2/19/2015,21.530001,21.540001,21.34,21.540001,19.762249,1700
ARKK,2/20/2015,21.75,21.75,21.57,21.684,19.894365,800
ARKK,2/23/2015,21.549999,21.577,21.48,21.48,19.707203,1600
ARKK,2/24/2015,21.51,21.51,21.422001,21.422001,19.653988,900
ARKK,2/25/2015,21.51,21.559999,21.43,21.43,19.661329,2400
ARKK,2/26/2015,21.700001,21.700001,21.58,21.639999,19.853996,1300
ARKK,2/27/2015,21.51,21.51,21.51,21.51,19.734726,200
ARKK,3/2/2015,21.540001,21.540001,21.42,21.499001,19.724634,3300
ARKK,3/3/2015,21.34,21.34,21.34,21.34,19.578758,500
ARKK,3/4/2015,21.08,21.219,21.08,21.219,19.467743,300
ARKK,3/5/2015,21.351999,21.351999,21.351999,21.351999,19.589766,200
ARKK,3/6/2015,21.530001,21.530001,20.966,20.966,19.235624,1100
ARKK,3/9/2015,21.16,21.16,20.790001,20.799999,19.083323,28400
ARKK,3/10/2015,20.6,20.6,20.577999,20.577999,18.879642,1100
ARKK,3/11/2015,20.649,20.665001,20.649,20.665001,18.959467,600
ARKK,3/12/2015,20.68,20.68,20.68,20.68,18.973228,200
ARKK,3/13/2015,20.59,20.615999,20.58,20.615999,18.914509,5100
ARKK,3/16/2015,20.83,20.83,20.799999,20.799999,19.083323,300
ARKK,3/17/2015,20.870001,20.870001,20.870001,20.870001,19.147545,200
