Key,Date,Open,High,Low,Close,Adj Close,Volume
BDRY,3/22/2018,25.4,25.719999,25.360001,25.513,25.513,5400
BDRY,3/23/2018,25.52,25.52,24.101,24.101,24.101,205000
BDRY,3/26/2018,24.35,24.85,24.35,24.84,24.84,102400
BDRY,3/27/2018,24.65,24.65,23.459999,24.08,24.08,8500
BDRY,3/28/2018,23.9,23.9,23.1,23.379999,23.379999,2200
BDRY,3/29/2018,22.9,22.9,22.780001,22.780001,22.780001,1100
BDRY,4/2/2018,24.459999,24.459999,22.950001,23,23,1900
BDRY,4/3/2018,22,22,21.25,21.25,21.25,2000
BDRY,4/4/2018,20.5,20.5,19,19.25,19.25,75900
BDRY,4/5/2018,20.25,20.438999,20.200001,20.25,20.25,800
BDRY,4/6/2018,20.030001,20.450001,20.030001,20.450001,20.450001,3100
BDRY,4/9/2018,21.799999,21.799999,21.459999,21.459999,21.459999,200
BDRY,4/10/2018,21.5,21.5,21.5,21.5,21.5,300
BDRY,4/11/2018,20.75,20.75,20.450001,20.450001,20.450001,300
BDRY,4/12/2018,21,22.58,21,22.25,22.25,11500
BDRY,4/13/2018,21.99,21.990999,21.51,21.582001,21.582001,11500
BDRY,4/16/2018,20.5,20.5,20.25,20.25,20.25,1400
BDRY,4/17/2018,21.25,21.4,21.25,21.4,21.4,600
BDRY,4/18/2018,22.450001,22.5,22.25,22.27,22.27,3600
BDRY,4/19/2018,21.5,21.82,21.5,21.809999,21.809999,6800
BDRY,4/20/2018,22.316999,22.5,22.280001,22.5,22.5,900
BDRY,4/23/2018,22.700001,22.700001,22.700001,22.700001,22.700001,300
BDRY,4/24/2018,22.75,22.92,22.75,22.790001,22.790001,500
BDRY,4/25/2018,22.75,22.75,22.75,22.75,22.75,200
BDRY,4/26/2018,22,22,22,22,22,100
BDRY,4/27/2018,21.5,21.75,21.5,21.75,21.75,200
BDRY,4/30/2018,21.5,21.5,21.5,21.5,21.5,100
BDRY,5/1/2018,21.75,22,21.75,21.76,21.76,300
BDRY,5/2/2018,22.299999,22.530001,22.25,22.5,22.5,5400
BDRY,5/3/2018,22.25,22.25,22.25,22.25,22.25,100
BDRY,5/4/2018,23.25,23.25,23,23,23,200
BDRY,5/7/2018,23,23,23,23,23,0
BDRY,5/8/2018,22.75,23.5,22.74,23.5,23.5,2400
BDRY,5/9/2018,22.25,23.52,22.25,23.25,23.25,500
BDRY,5/10/2018,22.75,22.75,22.75,22.75,22.75,200
BDRY,5/11/2018,23.25,24,23.25,23.75,23.75,4400
BDRY,5/14/2018,23.25,23.25,23,23.01,23.01,400
BDRY,5/15/2018,21.4,21.4,21.4,21.4,21.4,200
BDRY,5/16/2018,21,21,21,21,21,100
BDRY,5/17/2018,21,21,21,21,21,0
BDRY,5/18/2018,21,21,21,21,21,0
BDRY,5/21/2018,22.5,22.5,22.5,22.5,22.5,300
BDRY,5/22/2018,21.25,21.25,21,21,21,200
BDRY,5/23/2018,20.5,20.5,20,20,20,900
BDRY,5/24/2018,19.5,19.5,19.5,19.5,19.5,1100
BDRY,5/25/2018,19.5,19.5,19.5,19.5,19.5,0
BDRY,5/29/2018,19.25,19.25,18.732,18.732,18.732,1100
BDRY,5/30/2018,19.496,19.496,19.496,19.496,19.496,100
BDRY,5/31/2018,19.459999,20.499001,19.459999,20.237,20.237,600
BDRY,6/1/2018,20.75,21,20.75,21,21,200
BDRY,6/4/2018,21.25,21.25,21.246,21.246,21.246,500
BDRY,6/5/2018,21.5,22.129999,21.5,22.129999,22.129999,600
BDRY,6/6/2018,22.5,22.5,22,22,22,600
BDRY,6/7/2018,22.01,22.01,21.916,21.969999,21.969999,1200
BDRY,6/8/2018,21.969999,21.969999,21.969999,21.969999,21.969999,0
BDRY,6/11/2018,21.969999,21.969999,21.969999,21.969999,21.969999,0
BDRY,6/12/2018,22.190001,22.190001,22.190001,22.190001,22.190001,100
BDRY,6/13/2018,22.476999,22.476999,22.07,22.254,22.254,5500
BDRY,6/14/2018,22.532,22.532,22.532,22.532,22.532,100
BDRY,6/15/2018,22.25,22.25,22.25,22.25,22.25,100
BDRY,6/18/2018,22.25,22.25,22.25,22.25,22.25,0
BDRY,6/19/2018,21.35,21.35,21.299999,21.299999,21.299999,400
BDRY,6/20/2018,20.702999,20.794001,20.702999,20.794001,20.794001,400
BDRY,6/21/2018,21.395,21.4,21.395,21.4,21.4,200
BDRY,6/22/2018,21.4,21.4,21.4,21.4,21.4,100
BDRY,6/25/2018,21.4,21.4,21.4,21.4,21.4,0
BDRY,6/26/2018,21.4,21.4,21.4,21.4,21.4,0
BDRY,6/27/2018,21.040001,21.040001,21.040001,21.040001,21.040001,100
BDRY,6/28/2018,21.43,21.58,21.43,21.58,21.58,4000
BDRY,6/29/2018,22.040001,22.040001,22,22.040001,22.040001,1400
BDRY,7/2/2018,22.030001,22.035,21.841999,21.841999,21.841999,300
BDRY,7/3/2018,21.995001,21.995001,21.995001,21.995001,21.995001,100
BDRY,7/5/2018,22.25,22.25,22.25,22.25,22.25,100
BDRY,7/6/2018,22.639999,22.67,22.584999,22.67,22.67,1000
BDRY,7/9/2018,22.02,22.02,22.02,22.02,22.02,100
BDRY,7/10/2018,22.299999,22.299999,22.200001,22.23,22.23,6600
BDRY,7/11/2018,22.23,22.23,22.23,22.23,22.23,0
BDRY,7/12/2018,23,23.469999,23,23.469999,23.469999,300
BDRY,7/13/2018,23.469999,23.469999,23.469999,23.469999,23.469999,0
BDRY,7/16/2018,23.469999,23.469999,23.469999,23.469999,23.469999,0
BDRY,7/17/2018,23.469999,23.469999,23.469999,23.469999,23.469999,0
BDRY,7/18/2018,23.01,23.01,23.01,23.01,23.01,100
BDRY,7/19/2018,23.01,23.01,23.01,23.01,23.01,100
BDRY,7/20/2018,24.1,24.1,24.1,24.1,24.1,300
BDRY,7/23/2018,24.290001,24.716,24.290001,24.594,24.594,1000
BDRY,7/24/2018,24.813999,24.813999,24.540001,24.540001,24.540001,4100
BDRY,7/25/2018,24.639999,24.639999,24.639999,24.639999,24.639999,200
BDRY,7/26/2018,24.5,24.5,24.5,24.5,24.5,300
BDRY,7/27/2018,24.302,24.302,24.302,24.302,24.302,300
BDRY,7/30/2018,24.601999,24.601999,24.6,24.6,24.6,200
BDRY,7/31/2018,24.6,24.6,24.6,24.6,24.6,0
BDRY,8/1/2018,24.698999,24.917,24.669001,24.669001,24.669001,500
BDRY,8/2/2018,24.85,24.85,24.85,24.85,24.85,200
BDRY,8/3/2018,25.261,25.261,25.261,25.261,25.261,200
BDRY,8/6/2018,24.82,24.82,24.802,24.802,24.802,300
BDRY,8/7/2018,24.802,24.802,24.802,24.802,24.802,0
BDRY,8/8/2018,24.802,24.802,24.802,24.802,24.802,0
BDRY,8/9/2018,24.802,24.802,24.802,24.802,24.802,0
BDRY,8/10/2018,24.83,24.83,24.83,24.83,24.83,100
BDRY,8/13/2018,25.370001,25.370001,25.370001,25.370001,25.370001,200
BDRY,8/14/2018,25.113001,25.200001,25.113001,25.200001,25.200001,300
BDRY,8/15/2018,25.235001,25.235001,25.235001,25.235001,25.235001,300
BDRY,8/16/2018,25.235001,25.235001,25.235001,25.235001,25.235001,0
BDRY,8/17/2018,25.235001,25.235001,25.235001,25.235001,25.235001,0
BDRY,8/20/2018,25.469999,25.469999,25.469999,25.469999,25.469999,200
BDRY,8/21/2018,25.58,25.6,25.58,25.58,25.58,400
BDRY,8/22/2018,25.599001,25.599001,25.569,25.569,25.569,200
