Key,Date,Open,High,Low,Close,Adj Close,Volume
BILI,3/28/2018,9.8,11.26,9.62,11.24,11.24,23929600
BILI,3/29/2018,11.5,11.8,10.65,11,11,5863900
BILI,4/2/2018,11.05,11.5,10.91,11,11,2771000
BILI,4/3/2018,11.5,11.5,10.791,10.91,10.91,2509600
BILI,4/4/2018,10.75,11.08,10.55,10.97,10.97,1498200
BILI,4/5/2018,11,11.049,10.75,10.98,10.98,893300
BILI,4/6/2018,10.95,11.03,10.85,10.94,10.94,684700
BILI,4/9/2018,11,11.69,10.96,11.1,11.1,2648400
BILI,4/10/2018,11.45,11.59,11.25,11.5,11.5,2198200
BILI,4/11/2018,11.58,11.59,11.03,11.48,11.48,1497800
BILI,4/12/2018,11.53,11.76,11.35,11.62,11.62,2075200
BILI,4/13/2018,11.6,11.69,11.32,11.4,11.4,803800
BILI,4/16/2018,11.41,11.5,11.33,11.33,11.33,562000
BILI,4/17/2018,11.35,11.4,11.16,11.32,11.32,635100
BILI,4/18/2018,11.44,11.5,11.29,11.35,11.35,582400
BILI,4/19/2018,11.4,11.49,11.28,11.35,11.35,433000
BILI,4/20/2018,11.25,11.31,11.06,11.19,11.19,625700
BILI,4/23/2018,11.29,11.46,11.051,11.19,11.19,867800
BILI,4/24/2018,11.25,11.52,11.21,11.29,11.29,1223300
BILI,4/25/2018,11.19,11.29,10.82,10.9,10.9,1530200
BILI,4/26/2018,11.06,11.19,10.85,11,11,343100
BILI,4/27/2018,11,11.1,10.61,10.61,10.61,495000
BILI,4/30/2018,10.7,11.08,10.1,10.92,10.92,1090900
BILI,5/1/2018,10.84,11.04,10.41,10.58,10.58,581000
BILI,5/2/2018,10.52,10.636,10.21,10.26,10.26,558700
BILI,5/3/2018,10.19,10.459,10,10.08,10.08,844000
BILI,5/4/2018,10.18,10.28,9.86,9.99,9.99,954500
BILI,5/7/2018,10.01,10.14,9.86,10,10,877800
BILI,5/8/2018,10.05,10.49,9.95,10.27,10.27,733800
BILI,5/9/2018,10.41,10.73,10.28,10.65,10.65,1043500
BILI,5/10/2018,10.73,11.679,10.51,11,11,1653000
BILI,5/11/2018,11.06,12.19,11.06,11.46,11.46,3152500
BILI,5/14/2018,11.55,12.2,11.5,12.07,12.07,1946800
BILI,5/15/2018,12.07,12.42,11.52,12.16,12.16,1529300
BILI,5/16/2018,12.24,14.35,12.16,14.11,14.11,3113400
BILI,5/17/2018,13.83,14.87,13.03,13.55,13.55,4410200
BILI,5/18/2018,13.5,13.5,12.8,12.84,12.84,2469000
BILI,5/21/2018,12.94,13.18,12.67,12.75,12.75,3480100
BILI,5/22/2018,13,13.26,12.61,13.14,13.14,2364300
BILI,5/23/2018,13.07,13.38,12.3,12.44,12.44,6222900
